년도,거주지,개수
2012,노원구,1424
2012,기타지역,1216
2012,송파구,1103
2012,영등포구,957
2012,중랑구,941
2012,구로구,937
2012,은평구,873
2012,강서구,833
2012,양천구,808
2012,동대문구,778
2012,성북구,778
2012,강동구,748
2012,강남구,746
2012,관악구,719
2012,마포구,699
2012,서초구,671
2012,광진구,668
2012,용산구,660
2012,도봉구,626
2012,강북구,621
2012,성동구,599
2012,서대문구,579
2012,중구,549
2012,동작구,534
2012,종로구,512
2012,금천구,421
