기준_년분기_코드,자치구,지출_총금액,식료품_지출_총금액,교통_지출_총금액
20191,성북구,5093492912.0,1432931791.0,796315954.0
20191,성북구,6159430523.0,1733340471.0,947287632.0
20191,성북구,6812601067.0,1903221750.0,1071937642.0
20191,성북구,4875845949.0,1436623112.0,738339144.0
20191,성북구,5155216794.0,1469919306.0,793101553.0
20191,성북구,8357746466.0,2350356262.0,1299870508.0
20191,성북구,5560090396.0,1518570117.0,897433754.0
20191,성북구,7296259291.0,1975682191.0,1188190486.0
20191,성북구,4426732172.0,1280629445.0,658743154.0
20191,성북구,5544002367.0,1590038105.0,838463809.0
20191,성북구,7282913397.0,1896213328.0,1239803095.0
20191,성북구,5360888533.0,1515932836.0,807003974.0
20191,성북구,5370104564.0,1443083814.0,838865602.0
20191,성북구,10230736650.0,2801233994.0,1609904488.0
20191,강북구,10097308554.0,2681549120.0,1700832234.0
20191,강북구,6317564726.0,1648770357.0,1073971590.0
20191,강북구,11244408306.0,3008001217.0,1868615433.0
20191,강북구,5924410176.0,1525569358.0,983620158.0
20191,강북구,4693400485.0,1226159954.0,783691192.0
20191,강북구,6306894137.0,1678706144.0,1043302224.0
20191,강북구,4760680869.0,1251016385.0,806404111.0
20191,강북구,9678713927.0,2543404132.0,1631328369.0
20191,강북구,7791723235.0,2030355820.0,1322665520.0
20191,강북구,2548670744.0,686117601.0,423947035.0
20191,강북구,6282177752.0,1647419292.0,1062651555.0
20191,강북구,4999307209.0,1302521667.0,847309281.0
20191,강북구,4429924273.0,1203244611.0,729283784.0
20191,강북구,5756213434.0,1509853334.0,970836469.0
20191,성북구,4660742919.0,1379943571.0,690942874.0
20191,성북구,7836259389.0,2224549348.0,1211458482.0
20191,강북구,7891190963.0,2230136690.0,1266046758.0
20191,강북구,10342423003.0,2876578138.0,1631520276.0
20191,강북구,9370477485.0,2611195357.0,1476214376.0
20191,강북구,5455904029.0,1558878958.0,829165202.0
20191,강북구,10933793751.0,2955141791.0,1803518512.0
20191,강북구,7561548515.0,2164486055.0,1160300906.0
20191,강북구,10348527264.0,2714106011.0,1721507863.0
20191,강북구,11460947234.0,3137702890.0,1898460595.0
20191,강북구,11621593026.0,3041632684.0,1971506189.0
20191,강북구,9657088513.0,2573342717.0,1609752212.0
20191,강북구,9253720430.0,2405906713.0,1573832278.0
20191,강북구,9847959848.0,2698441202.0,1561166315.0
20191,강북구,7953946165.0,2132137011.0,1273301372.0
20191,강북구,8926117903.0,2335770998.0,1507319102.0
20191,강북구,12758334353.0,3407194703.0,2100211837.0
20191,강북구,10508499611.0,2754011517.0,1791936070.0
20191,도봉구,4856794363.0,1306890040.0,798579536.0
20191,강북구,4100121479.0,1308651137.0,537448070.0
20191,강북구,4670189702.0,1279518119.0,742774491.0
20191,강북구,4010482994.0,1180440561.0,590515229.0
20191,강북구,5943708082.0,1743245289.0,879982274.0
20191,강북구,3576852158.0,1065755530.0,517206736.0
20191,강북구,13244290801.0,3765083868.0,2056594606.0
20191,강북구,6396611410.0,1831527534.0,965394603.0
20191,강북구,9581524533.0,2678732507.0,1500451918.0
20191,강북구,8109670087.0,2257323379.0,1273263259.0
20191,강북구,6861140823.0,1970455626.0,1083651199.0
20191,강북구,5959685169.0,1743545405.0,889343554.0
20191,강북구,8072235731.0,2295504649.0,1247910262.0
20191,강북구,8296889974.0,2209919210.0,1337032145.0
20191,강북구,8420249782.0,2413510920.0,1258485665.0
20191,강북구,6420736423.0,1801772269.0,1032915391.0
20191,도봉구,10011368508.0,2655954950.0,1631097343.0
20191,도봉구,9813074696.0,2772061527.0,1554615441.0
20191,도봉구,6996308727.0,1881755279.0,1132225726.0
20191,도봉구,6659664537.0,1877041493.0,1045291006.0
20191,도봉구,12195923315.0,3408301650.0,1924005114.0
20191,도봉구,5080795473.0,1472117816.0,775651652.0
20191,도봉구,5699676525.0,1721724391.0,817003804.0
20191,도봉구,7823774161.0,2131825871.0,1257415893.0
20191,도봉구,7398782933.0,2158038300.0,1113796140.0
20191,도봉구,6093929316.0,1716491301.0,974671624.0
20191,도봉구,8003821323.0,2145241357.0,1308465670.0
20191,도봉구,9123240550.0,2455386863.0,1500044075.0
20191,도봉구,2356317483.0,707421991.0,337761900.0
20191,도봉구,4512752561.0,1238371370.0,727815881.0
20191,도봉구,3908652257.0,1076013153.0,627608972.0
20191,도봉구,2364813397.0,642354918.0,378091296.0
20191,노원구,3903621359.0,1129160535.0,584423852.0
20191,도봉구,6457426129.0,1856149433.0,997907968.0
20191,도봉구,4085285360.0,1095172613.0,643747182.0
20191,도봉구,8579654697.0,2469674170.0,1319212015.0
20191,도봉구,9988350763.0,2836576174.0,1543107788.0
20191,도봉구,10300563934.0,2724321716.0,1681035305.0
20191,도봉구,9012524810.0,2314656061.0,1508737909.0
20191,도봉구,9385212999.0,2664617912.0,1463952874.0
20191,도봉구,4653028317.0,1293793271.0,747135952.0
20191,도봉구,10589192007.0,3023562138.0,1641180560.0
20191,도봉구,13471261658.0,3804475392.0,2089596006.0
20191,도봉구,10675319192.0,3009570858.0,1672338636.0
20191,도봉구,8536527274.0,2344926956.0,1373810805.0
20191,도봉구,8043372122.0,2116500719.0,1320030648.0
20191,도봉구,10977817565.0,2908087736.0,1787628078.0
20191,도봉구,15024294226.0,4061217071.0,2436157878.0
20191,노원구,13907352324.0,3977578061.0,2093661473.0
20191,노원구,3916605517.0,1117519222.0,571651499.0
20191,노원구,13084373107.0,3515665540.0,2020165264.0
20191,노원구,13165081822.0,3694329082.0,2014959586.0
20191,노원구,10003749987.0,2727351255.0,1556056435.0
20191,노원구,8560126030.0,2368544821.0,1343612783.0
20191,영등포구,10536725158.0,2870342589.0,1686359344.0
20191,마포구,206292886.0,49272223.0,36348848.0
20191,노원구,6631529970.0,1781700672.0,1043264817.0
20191,노원구,5944651628.0,1676249640.0,920579539.0
20191,노원구,4920355684.0,1341256088.0,787979701.0
20191,노원구,8710742990.0,2482887201.0,1354051464.0
20191,노원구,6650418839.0,1878955455.0,1033727687.0
20191,노원구,3181185840.0,1013123367.0,423087821.0
20191,노원구,6501208618.0,1852855836.0,983493797.0
20191,노원구,11329397573.0,3247049470.0,1730727164.0
20191,은평구,6596008353.0,1681132308.0,1132459332.0
20191,은평구,2338126307.0,651637286.0,380642005.0
20191,노원구,2452454773.0,678252698.0,365661995.0
20191,노원구,6460420970.0,1595729638.0,1042889109.0
20191,노원구,5247472232.0,1433187399.0,848707764.0
20191,노원구,5361642356.0,1432485313.0,883478529.0
20191,노원구,10336668597.0,2756804616.0,1672946832.0
20191,노원구,7694716198.0,2123792674.0,1227483316.0
20191,노원구,7223133578.0,2054451190.0,1047912929.0
20191,노원구,3273162120.0,847302831.0,538059548.0
20191,노원구,9034242955.0,2285426565.0,1533760281.0
20191,노원구,10951939709.0,2830028589.0,1843428621.0
20191,노원구,5029868650.0,1368327965.0,778458185.0
